,category,sub_category,sub_category2,sub_category2_link
0,cameras & camcorders,,,https://uae.sharafdg.com/apple-iphone-14-pro/
1,cameras & camcorders,,,https://uae.sharafdg.com/iphone-13-series/
2,cameras & camcorders,,,https://uae.sharafdg.com/buy-iphone-12/
3,cameras & camcorders,,,https://uae.sharafdg.com/buy-iphone/
4,cameras & camcorders,,,https://uae.sharafdg.com/zte-nubia-smartphones/
5,cameras & camcorders,,,https://uae.sharafdg.com/asus-rog-smartphones/
6,cameras & camcorders,,,https://uae.sharafdg.com/xiaomi-black-shark/
7,cameras & camcorders,,,https://uae.sharafdg.com/samsung-galaxy-s23-series/
8,cameras & camcorders,,,https://uae.sharafdg.com/samsung-galaxy-z-fold-5-and-z-flip-5/
9,cameras & camcorders,,,https://uae.sharafdg.com/samsung-galaxy-z-fold-4-and-z-flip-4/
10,cameras & camcorders,,,https://uae.sharafdg.com/huawei-nova-11-series/
11,cameras & camcorders,,,https://uae.sharafdg.com/samsung-galaxy-a34-a54-5g/
12,cameras & camcorders,,,https://uae.sharafdg.com/huawei-p60-pro-and-huawei-mate-x3-offers/
13,cameras & camcorders,,,https://uae.sharafdg.com/google-pixel-7-pro/
14,cameras & camcorders,,,https://uae.sharafdg.com/motorola-edge-40/
15,cameras & camcorders,,,https://uae.sharafdg.com/nothing-phone-2/
16,cameras & camcorders,,,https://uae.sharafdg.com/oneplus-11/
17,cameras & camcorders,,,https://uae.sharafdg.com/honor-90/
18,cameras & camcorders,,,https://uae.sharafdg.com/oppo-reno-10-series/
19,cameras & camcorders,,,https://uae.sharafdg.com/oneplus-nord-smartphones/
20,cameras & camcorders,,,https://uae.sharafdg.com/xiaomi-13-series/
21,cameras & camcorders,,,https://uae.sharafdg.com/c/mobiles_tablets/mobile_accessories/?dFR%5Btaxonomies.attr.Brand%5D%5B0%5D=Apple
22,cameras & camcorders,,,https://uae.sharafdg.com/mobile-adapters/
23,cameras & camcorders,,,https://uae.sharafdg.com/c/mobiles_tablets/mobile_accessories/mobile_cables/
24,cameras & camcorders,,,https://uae.sharafdg.com/c/mobiles_tablets/mobile_accessories/mobile_cases_covers/
25,cameras & camcorders,,,https://uae.sharafdg.com/c/mobiles_tablets/mobile_accessories/mobile_screen_guards/
26,cameras & camcorders,,,https://uae.sharafdg.com/c/mobiles_tablets/mobile_accessories/mobile_power_banks/
