,category,sub_category,sub_category2,prod_link,product,link
0,cameras & camcorders,,,https://uae.sharafdg.com/apple-iphone-14-pro/,Apple iPhone 14 Pro 512GB Space Black with FaceTime - Middle East Version,https://uae.sharafdg.com/product/apple-iphone-14-pro-512gb-space-black-middle-east-version/?promo=3026299
1,cameras & camcorders,,,https://uae.sharafdg.com/apple-iphone-14-pro/,Apple iPhone 14 Pro 512GB Deep Purple with FaceTime - Middle East Version,https://uae.sharafdg.com/product/apple-iphone-14-pro-512gb-deep-purple-middle-east-version/?promo=3026302
2,cameras & camcorders,,,https://uae.sharafdg.com/apple-iphone-14-pro/,Apple iPhone 14 Pro Max 1TB Space Black with FaceTime - Middle East Version,https://uae.sharafdg.com/product/apple-iphone-14-pro-max-1tb-space-black-middle-east-version/?promo=3002113
3,cameras & camcorders,,,https://uae.sharafdg.com/apple-iphone-14-pro/,Apple iPhone 14 Plus 256GB Startlight with FaceTime - Middle East Version,https://uae.sharafdg.com/product/apple-iphone-14-plus-256gb-startlight-middle-east-version/?promo=3002076
4,cameras & camcorders,,,https://uae.sharafdg.com/apple-iphone-14-pro/,Apple iPhone 14 Plus 128GB Startlight with FaceTime - Middle East Version,https://uae.sharafdg.com/product/apple-iphone-14-plus-128gb-startlight-middle-east-version/?promo=3002070
5,cameras & camcorders,,,https://uae.sharafdg.com/apple-iphone-14-pro/,Apple iPhone 14 Plus 256GB Blue with FaceTime - Middle East Version,https://uae.sharafdg.com/product/apple-iphone-14-plus-256gb-blue-middle-east-version/?promo=3002079
6,cameras & camcorders,,,https://uae.sharafdg.com/apple-iphone-14-pro/,Apple iPhone 14 128GB Startlight with FaceTime - Middle East Version,https://uae.sharafdg.com/product/apple-iphone-14-128gb-startlight-middle-east-version/?promo=3002056
7,cameras & camcorders,,,https://uae.sharafdg.com/apple-iphone-14-pro/,Apple iPhone 14 Plus 256GB Midnight with FaceTime - Middle East Version,https://uae.sharafdg.com/product/apple-iphone-14-plus-256gb-midnight-middle-east-version/?promo=3002075
8,cameras & camcorders,,,https://uae.sharafdg.com/apple-iphone-14-pro/,Apple iPhone 14 128GB Midnight with FaceTime - Middle East Version,https://uae.sharafdg.com/product/apple-iphone-14-128gb-midnight-middle-east-version/?promo=3002055
9,cameras & camcorders,,,https://uae.sharafdg.com/apple-iphone-14-pro/,Apple iPhone 14 Pro Max 1TB Deep Purple with FaceTime - Middle East Version,https://uae.sharafdg.com/product/apple-iphone-14-pro-max-1tb-deep-purple-middle-east-version/?promo=3002116
